train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
0.020, 99.332, 0.473, 91.120, 21.22, 2.42
0.018, 99.402, 0.454, 91.520, 20.10, 2.47
0.017, 99.402, 0.519, 91.070, 21.16, 2.40
0.019, 99.346, 0.436, 91.900, 20.13, 2.43
0.018, 99.380, 0.461, 91.480, 21.21, 2.44
0.019, 99.326, 0.458, 91.520, 20.09, 2.43
0.021, 99.318, 0.463, 91.490, 21.14, 2.39
0.016, 99.480, 0.478, 91.400, 19.99, 2.43
0.015, 99.468, 0.475, 91.630, 21.17, 2.40
0.017, 99.436, 0.483, 91.350, 20.13, 2.45
0.019, 99.342, 0.480, 91.360, 20.21, 3.10
