train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
0.027s, 99.098s, 0.528s, 90.240s, 15.87s, 1.59s
0.029s, 98.994s, 0.475s, 90.890s, 15.82s, 1.65s
0.024s, 99.174s, 0.495s, 90.810s, 15.76s, 1.56s
0.024s, 99.220s, 0.481s, 91.050s, 15.84s, 1.66s
0.024s, 99.152s, 0.510s, 90.660s, 15.86s, 1.51s
0.023s, 99.164s, 0.476s, 91.080s, 15.94s, 1.60s
0.026s, 99.088s, 0.499s, 90.850s, 15.91s, 1.56s
0.024s, 99.156s, 0.498s, 90.970s, 15.90s, 1.51s
0.022s, 99.228s, 0.559s, 90.520s, 15.89s, 1.56s
0.026s, 99.098s, 0.476s, 91.480s, 15.92s, 1.57s
0.026s, 99.106s, 0.506s, 90.750s, 15.92s, 1.55s
0.025s, 99.132s, 0.487s, 90.750s, 15.82s, 1.63s
0.018s, 99.372s, 0.486s, 91.190s, 15.90s, 1.54s
0.020s, 99.288s, 0.532s, 90.690s, 15.90s, 1.55s
0.023s, 99.182s, 0.519s, 90.660s, 15.89s, 1.57s
0.022s, 99.230s, 0.507s, 91.070s, 15.91s, 1.47s
0.023s, 99.250s, 0.509s, 91.270s, 15.95s, 1.59s
0.019s, 99.306s, 0.500s, 90.740s, 15.92s, 1.66s
0.018s, 99.400s, 0.528s, 90.830s, 15.34s, 1.49s
0.021s, 99.310s, 0.529s, 91.080s, 15.21s, 1.55s
0.021s, 99.288s, 0.509s, 90.780s, 15.12s, 1.58s
0.022s, 99.288s, 0.496s, 90.880s, 15.10s, 1.61s
0.022s, 99.238s, 0.552s, 90.230s, 15.06s, 1.52s
0.020s, 99.276s, 0.506s, 90.890s, 15.05s, 1.68s
0.018s, 99.366s, 0.508s, 91.240s, 15.03s, 1.52s
0.020s, 99.312s, 0.533s, 91.220s, 15.06s, 1.59s
0.019s, 99.358s, 0.524s, 90.530s, 15.03s, 1.59s
0.024s, 99.136s, 0.516s, 90.680s, 15.07s, 1.61s
0.020s, 99.298s, 0.492s, 91.140s, 15.11s, 1.61s
0.019s, 99.354s, 0.504s, 90.680s, 15.08s, 1.59s
0.016s, 99.484s, 0.524s, 91.110s, 15.13s, 1.63s
0.017s, 99.410s, 0.499s, 91.350s, 15.17s, 1.53s
0.016s, 99.460s, 0.529s, 90.810s, 15.24s, 1.62s
0.020s, 99.304s, 0.495s, 91.270s, 15.27s, 1.68s
0.016s, 99.514s, 0.486s, 91.300s, 15.35s, 1.63s
0.018s, 99.432s, 0.507s, 91.250s, 15.43s, 1.51s
0.020s, 99.302s, 0.511s, 90.770s, 15.52s, 1.64s
0.017s, 99.394s, 0.528s, 91.030s, 15.64s, 1.46s
0.018s, 99.332s, 0.526s, 91.430s, 15.74s, 1.45s
0.017s, 99.408s, 0.515s, 91.220s, 15.76s, 1.55s
0.016s, 99.456s, 0.521s, 91.110s, 15.80s, 1.62s
0.019s, 99.324s, 0.489s, 91.270s, 15.83s, 1.51s
0.015s, 99.492s, 0.500s, 91.290s, 15.93s, 1.52s
0.014s, 99.514s, 0.507s, 91.410s, 15.85s, 1.47s
0.017s, 99.428s, 0.538s, 91.100s, 15.90s, 1.63s
0.019s, 99.318s, 0.512s, 91.120s, 15.85s, 1.61s
0.017s, 99.418s, 0.501s, 91.560s, 15.88s, 1.58s
0.015s, 99.502s, 0.510s, 91.330s, 15.86s, 1.53s
0.018s, 99.380s, 0.555s, 90.490s, 15.95s, 1.68s
0.014s, 99.546s, 0.509s, 91.040s, 15.95s, 1.61s
0.015s, 99.512s, 0.518s, 91.060s, 15.79s, 1.61s
0.017s, 99.444s, 0.514s, 91.190s, 15.88s, 1.52s
0.014s, 99.544s, 0.547s, 91.140s, 15.81s, 1.52s
0.017s, 99.374s, 0.553s, 90.570s, 15.80s, 1.50s
0.015s, 99.470s, 0.520s, 91.230s, 15.98s, 1.65s
0.014s, 99.508s, 0.522s, 91.170s, 15.84s, 1.59s
0.017s, 99.402s, 0.543s, 90.760s, 15.90s, 1.53s
0.016s, 99.434s, 0.523s, 90.980s, 15.96s, 1.55s
0.014s, 99.508s, 0.509s, 91.210s, 15.83s, 1.60s
0.015s, 99.522s, 0.530s, 90.830s, 15.85s, 1.56s
0.018s, 99.398s, 0.506s, 91.020s, 15.87s, 1.63s
0.015s, 99.478s, 0.502s, 91.430s, 15.53s, 1.59s
0.014s, 99.510s, 0.522s, 91.330s, 15.19s, 1.66s
0.016s, 99.414s, 0.557s, 90.880s, 15.16s, 1.45s
0.013s, 99.564s, 0.521s, 91.340s, 15.08s, 1.54s
0.016s, 99.482s, 0.548s, 91.010s, 15.03s, 1.57s
0.017s, 99.432s, 0.515s, 91.330s, 15.09s, 1.66s
0.013s, 99.568s, 0.538s, 91.240s, 15.03s, 1.67s
0.014s, 99.580s, 0.525s, 90.820s, 15.09s, 1.49s
0.014s, 99.536s, 0.538s, 91.040s, 15.07s, 1.65s
0.014s, 99.540s, 0.497s, 91.190s, 15.08s, 1.57s
0.014s, 99.510s, 0.522s, 91.210s, 15.14s, 1.52s
0.013s, 99.536s, 0.511s, 91.190s, 15.16s, 1.55s
0.011s, 99.636s, 0.497s, 91.730s, 15.20s, 1.58s
0.011s, 99.612s, 0.537s, 91.230s, 15.14s, 1.65s
0.015s, 99.464s, 0.532s, 91.410s, 15.16s, 1.61s
0.015s, 99.498s, 0.542s, 90.920s, 15.13s, 1.65s
0.015s, 99.480s, 0.523s, 91.150s, 15.08s, 1.63s
0.013s, 99.560s, 0.499s, 91.080s, 15.04s, 1.63s
0.014s, 99.506s, 0.523s, 91.080s, 15.09s, 1.59s
0.012s, 99.562s, 0.509s, 91.180s, 15.01s, 1.63s
0.015s, 99.512s, 0.485s, 91.440s, 15.13s, 1.55s
0.014s, 99.506s, 0.550s, 90.460s, 14.99s, 1.60s
0.010s, 99.690s, 0.482s, 91.710s, 14.96s, 1.53s
0.011s, 99.582s, 0.526s, 91.200s, 15.03s, 1.55s
0.012s, 99.600s, 0.533s, 91.070s, 14.99s, 1.56s
0.013s, 99.558s, 0.541s, 91.220s, 15.01s, 1.59s
0.013s, 99.544s, 0.514s, 91.160s, 14.93s, 1.58s
0.013s, 99.568s, 0.516s, 91.450s, 15.04s, 1.57s
0.014s, 99.568s, 0.539s, 91.170s, 14.97s, 1.64s
0.013s, 99.570s, 0.491s, 91.780s, 15.01s, 1.65s
0.012s, 99.568s, 0.507s, 91.600s, 15.04s, 1.59s
0.011s, 99.634s, 0.536s, 91.420s, 15.03s, 1.58s
0.012s, 99.592s, 0.518s, 91.330s, 15.11s, 1.53s
0.012s, 99.602s, 0.529s, 91.480s, 15.20s, 1.67s
0.013s, 99.574s, 0.534s, 91.280s, 15.24s, 1.45s
0.013s, 99.562s, 0.514s, 91.130s, 15.25s, 1.60s
0.012s, 99.590s, 0.518s, 91.650s, 15.32s, 1.59s
0.010s, 99.632s, 0.507s, 91.510s, 15.36s, 1.51s
0.010s, 99.676s, 0.526s, 91.320s, 15.43s, 1.58s
0.013s, 99.576s, 0.497s, 91.420s, 15.51s, 1.67s
0.011s, 99.620s, 0.494s, 91.710s, 15.60s, 1.51s
0.010s, 99.684s, 0.510s, 91.550s, 15.76s, 1.66s
0.011s, 99.622s, 0.547s, 91.280s, 15.81s, 1.53s
0.015s, 99.492s, 0.526s, 91.210s, 15.84s, 1.55s
0.012s, 99.594s, 0.521s, 91.130s, 15.87s, 1.53s
0.010s, 99.682s, 0.558s, 90.840s, 15.97s, 1.59s
0.014s, 99.528s, 0.516s, 91.370s, 15.91s, 1.64s
0.013s, 99.566s, 0.520s, 91.420s, 15.94s, 1.65s
0.011s, 99.640s, 0.484s, 91.940s, 15.88s, 1.65s
