train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.717, 35.482, 1.444, 46.850, 15.57, 1.65
1.331, 50.990, 1.147, 58.070, 14.91, 1.59
1.121, 59.302, 1.009, 64.440, 15.01, 1.62
0.979, 65.064, 1.022, 64.140, 15.08, 1.56
0.873, 69.042, 0.862, 70.000, 15.13, 1.49
0.788, 72.466, 0.741, 73.690, 15.16, 1.48
0.716, 74.792, 0.837, 71.620, 15.30, 1.43
0.658, 76.862, 0.634, 77.900, 15.27, 1.54
0.616, 78.512, 0.759, 74.960, 15.25, 1.47
0.579, 79.896, 0.634, 78.350, 15.27, 1.62
0.549, 80.958, 0.613, 79.240, 15.40, 1.62
0.519, 81.944, 0.553, 81.290, 15.45, 1.58
0.494, 82.942, 0.568, 81.150, 15.43, 1.58
0.476, 83.476, 0.567, 81.100, 15.51, 1.58
0.459, 84.264, 0.505, 83.260, 15.44, 1.52
0.436, 84.964, 0.538, 82.240, 15.48, 1.58
0.421, 85.516, 0.494, 83.250, 15.50, 1.51
0.404, 85.922, 0.537, 82.240, 15.39, 1.59
0.388, 86.446, 0.506, 83.250, 15.47, 1.46
0.376, 87.022, 0.458, 84.810, 15.57, 1.59
0.365, 87.328, 0.476, 84.280, 15.64, 1.54
0.351, 87.824, 0.521, 83.330, 15.59, 1.56
0.344, 87.914, 0.470, 84.890, 15.63, 1.62
0.330, 88.412, 0.468, 84.410, 15.59, 1.63
0.322, 88.614, 0.511, 83.990, 15.55, 1.53
0.302, 89.732, 0.466, 84.870, 15.55, 1.64
0.298, 89.608, 0.434, 86.030, 15.56, 1.53
0.292, 89.824, 0.439, 85.830, 15.56, 1.59
0.280, 90.308, 0.458, 85.160, 15.59, 1.53
0.271, 90.428, 0.423, 86.140, 15.53, 1.58
0.264, 90.882, 0.459, 85.940, 15.54, 1.48
0.257, 91.030, 0.424, 86.420, 15.54, 1.55
0.246, 91.462, 0.427, 86.780, 15.58, 1.56
0.245, 91.514, 0.487, 84.780, 15.52, 1.46
0.234, 91.836, 0.410, 86.830, 15.58, 1.53
0.229, 92.048, 0.492, 85.160, 15.53, 1.57
0.220, 92.422, 0.415, 87.600, 15.58, 1.65
0.216, 92.466, 0.435, 86.950, 15.50, 1.53
0.213, 92.586, 0.415, 87.470, 15.52, 1.56
0.204, 92.840, 0.444, 86.710, 15.58, 1.49
0.196, 93.176, 0.436, 87.000, 15.56, 1.46
0.195, 93.208, 0.405, 87.770, 15.55, 1.58
0.186, 93.458, 0.430, 86.930, 15.54, 1.60
0.181, 93.648, 0.453, 86.570, 15.55, 1.60
0.179, 93.696, 0.443, 86.940, 15.56, 1.49
0.176, 93.880, 0.408, 87.840, 15.58, 1.62
0.172, 93.882, 0.424, 87.820, 15.55, 1.55
0.163, 94.272, 0.395, 88.240, 15.54, 1.63
0.158, 94.386, 0.411, 88.430, 15.53, 1.61
0.157, 94.412, 0.401, 87.790, 15.55, 1.58
0.152, 94.598, 0.423, 88.370, 15.56, 1.58
0.148, 94.698, 0.419, 88.100, 15.55, 1.44
0.142, 95.010, 0.394, 88.780, 15.51, 1.51
0.140, 95.100, 0.558, 85.230, 15.61, 1.47
0.136, 95.196, 0.443, 87.800, 15.49, 1.54
0.131, 95.324, 0.414, 88.630, 15.50, 1.49
0.129, 95.458, 0.454, 87.250, 15.61, 1.61
0.127, 95.526, 0.416, 88.240, 15.60, 1.52
0.122, 95.682, 0.511, 86.610, 15.56, 1.59
0.123, 95.654, 0.433, 88.080, 15.57, 1.52
0.117, 95.840, 0.481, 87.460, 15.57, 1.54
0.116, 95.964, 0.477, 87.400, 15.60, 1.50
0.109, 96.142, 0.480, 87.280, 15.61, 1.52
0.109, 96.154, 0.472, 88.170, 15.62, 1.50
0.104, 96.298, 0.439, 88.650, 15.45, 1.44
0.100, 96.462, 0.445, 88.380, 15.32, 1.66
0.098, 96.576, 0.450, 88.660, 15.11, 1.51
0.103, 96.384, 0.432, 88.780, 14.98, 1.52
0.096, 96.534, 0.431, 88.390, 14.90, 1.58
0.095, 96.654, 0.474, 87.770, 14.87, 1.66
0.089, 96.840, 0.447, 88.250, 14.79, 1.54
0.085, 96.982, 0.445, 88.650, 14.82, 1.49
0.087, 96.970, 0.547, 87.220, 14.85, 1.52
0.082, 97.090, 0.484, 88.000, 14.86, 1.61
0.081, 97.186, 0.463, 88.620, 14.79, 1.53
0.082, 97.112, 0.492, 87.650, 14.78, 1.61
0.079, 97.248, 0.471, 88.750, 14.84, 1.55
0.078, 97.236, 0.452, 88.830, 14.85, 1.56
0.075, 97.308, 0.480, 88.330, 14.86, 1.50
0.077, 97.312, 0.479, 88.490, 14.95, 1.53
0.072, 97.460, 0.451, 89.050, 14.87, 1.54
0.071, 97.434, 0.467, 88.850, 14.80, 1.62
0.067, 97.640, 0.449, 89.230, 14.86, 1.61
0.069, 97.626, 0.471, 88.790, 14.80, 1.60
0.066, 97.728, 0.478, 88.910, 14.80, 1.43
0.065, 97.730, 0.501, 88.690, 14.77, 1.48
0.064, 97.654, 0.510, 88.070, 14.84, 1.46
0.062, 97.860, 0.518, 88.170, 14.79, 1.49
0.063, 97.744, 0.480, 89.060, 14.79, 1.48
0.061, 97.918, 0.484, 88.730, 14.87, 1.57
0.058, 97.956, 0.469, 89.450, 14.91, 1.59
0.053, 98.148, 0.461, 89.250, 14.92, 1.46
0.058, 97.930, 0.492, 88.940, 14.77, 1.52
0.058, 97.986, 0.484, 89.030, 14.87, 1.60
0.051, 98.150, 0.478, 89.090, 14.82, 1.47
0.051, 98.256, 0.485, 88.990, 14.73, 1.59
0.053, 98.136, 0.479, 89.110, 14.76, 1.58
0.054, 98.172, 0.547, 88.080, 14.84, 1.49
0.053, 98.174, 0.470, 89.360, 14.76, 1.60
0.050, 98.290, 0.466, 89.660, 14.84, 1.63
0.047, 98.370, 0.480, 89.200, 14.87, 1.60
0.046, 98.394, 0.484, 89.060, 14.90, 1.62
0.048, 98.332, 0.492, 89.020, 14.81, 1.56
0.044, 98.502, 0.511, 88.970, 14.82, 1.61
0.045, 98.402, 0.473, 89.470, 14.91, 1.52
0.042, 98.526, 0.493, 89.320, 14.95, 1.59
0.042, 98.496, 0.490, 89.640, 14.91, 1.58
0.045, 98.460, 0.500, 89.230, 15.01, 1.48
