train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.542, 43.410, 1.273, 54.110, 14.69, 1.62
1.045, 62.856, 1.119, 63.340, 14.64, 1.64
0.809, 71.632, 0.908, 69.170, 14.73, 1.58
0.689, 76.192, 0.705, 76.220, 14.75, 1.61
0.597, 79.494, 0.562, 81.240, 14.70, 1.64
0.539, 81.384, 0.585, 80.560, 14.73, 1.58
0.490, 82.986, 0.583, 80.560, 14.73, 1.60
0.452, 84.114, 0.570, 81.060, 14.70, 1.56
0.420, 85.492, 0.481, 83.740, 14.68, 1.62
0.393, 86.268, 0.442, 84.980, 14.77, 1.56
0.368, 87.202, 0.483, 84.320, 14.77, 1.58
0.344, 88.146, 0.417, 86.050, 14.81, 1.51
0.333, 88.390, 0.422, 85.910, 14.85, 1.59
0.312, 89.068, 0.421, 86.130, 14.88, 1.52
0.295, 89.698, 0.426, 86.380, 15.05, 1.66
0.282, 90.154, 0.428, 86.490, 15.14, 1.65
0.270, 90.542, 0.405, 86.920, 15.24, 1.61
0.252, 91.128, 0.406, 86.860, 15.31, 1.58
0.240, 91.576, 0.407, 87.360, 15.50, 1.65
0.228, 91.894, 0.411, 87.230, 15.47, 1.61
0.223, 92.184, 0.416, 86.910, 15.58, 1.55
0.215, 92.488, 0.406, 87.550, 15.54, 1.61
0.200, 92.872, 0.391, 87.470, 15.66, 1.48
0.198, 93.086, 0.443, 86.570, 15.54, 1.54
0.186, 93.414, 0.345, 88.870, 15.54, 1.65
0.177, 93.810, 0.397, 87.900, 15.52, 1.64
0.172, 94.072, 0.343, 89.550, 15.52, 1.57
0.161, 94.304, 0.361, 88.990, 15.69, 1.61
0.155, 94.456, 0.395, 88.520, 15.56, 1.66
0.149, 94.624, 0.428, 88.010, 15.60, 1.49
0.150, 94.614, 0.376, 89.070, 15.68, 1.63
0.136, 95.176, 0.385, 89.180, 15.74, 1.55
0.144, 94.880, 0.361, 89.600, 15.72, 1.64
0.131, 95.352, 0.393, 89.000, 15.66, 1.55
0.125, 95.598, 0.416, 87.820, 15.76, 1.60
0.120, 95.736, 0.400, 89.210, 15.66, 1.49
0.113, 96.008, 0.376, 89.740, 15.64, 1.51
0.110, 96.108, 0.387, 89.350, 15.69, 1.53
0.106, 96.214, 0.380, 89.650, 15.71, 1.56
0.098, 96.562, 0.390, 90.090, 15.70, 1.62
0.098, 96.584, 0.409, 89.580, 15.64, 1.62
0.101, 96.442, 0.356, 90.030, 15.65, 1.67
0.092, 96.780, 0.417, 89.690, 15.67, 1.60
0.090, 96.770, 0.419, 89.270, 15.87, 1.53
0.086, 96.834, 0.397, 90.050, 15.78, 1.50
0.084, 96.928, 0.413, 89.290, 15.83, 1.62
0.078, 97.200, 0.414, 89.610, 15.72, 1.52
0.081, 97.170, 0.408, 90.210, 15.73, 1.58
0.075, 97.356, 0.409, 90.150, 15.75, 1.65
0.073, 97.336, 0.386, 90.310, 15.58, 1.56
0.071, 97.452, 0.414, 90.010, 15.54, 1.54
0.070, 97.490, 0.415, 89.920, 15.48, 1.56
0.063, 97.758, 0.400, 90.560, 15.51, 1.59
0.066, 97.694, 0.411, 90.220, 15.60, 1.56
0.062, 97.800, 0.398, 90.210, 15.64, 1.65
0.063, 97.710, 0.427, 89.920, 15.67, 1.55
0.057, 97.988, 0.412, 90.290, 15.61, 1.57
0.056, 97.978, 0.410, 90.430, 15.59, 1.54
0.057, 97.982, 0.419, 90.180, 15.62, 1.62
0.054, 98.098, 0.440, 90.190, 15.72, 1.63
0.052, 98.112, 0.402, 90.800, 15.67, 1.63
0.050, 98.250, 0.420, 90.210, 15.73, 1.59
0.049, 98.268, 0.449, 90.190, 15.69, 1.53
0.049, 98.270, 0.415, 90.460, 15.52, 1.44
0.048, 98.336, 0.412, 90.540, 15.49, 1.54
0.044, 98.482, 0.420, 90.800, 15.50, 1.66
0.043, 98.518, 0.432, 90.470, 15.47, 1.57
0.042, 98.506, 0.442, 90.560, 15.52, 1.60
0.041, 98.560, 0.448, 90.420, 15.53, 1.53
0.040, 98.578, 0.440, 90.750, 15.50, 1.64
0.044, 98.474, 0.440, 90.420, 15.52, 1.56
0.038, 98.624, 0.445, 90.270, 15.55, 1.55
0.038, 98.632, 0.429, 91.080, 15.54, 1.61
0.038, 98.686, 0.455, 90.340, 15.51, 1.60
0.039, 98.652, 0.436, 90.770, 15.53, 1.54
0.036, 98.754, 0.416, 91.060, 15.52, 1.60
0.037, 98.686, 0.440, 90.870, 15.52, 1.56
0.037, 98.690, 0.461, 90.540, 15.46, 1.53
0.033, 98.776, 0.457, 90.880, 15.43, 1.59
0.034, 98.800, 0.443, 91.070, 15.48, 1.64
