train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.647, 39.048, 1.906, 45.630, 15.28, 1.80
1.210, 56.458, 1.128, 61.040, 13.78, 1.69
0.947, 66.270, 1.140, 62.730, 13.79, 1.56
0.783, 72.428, 0.906, 70.500, 13.79, 1.53
0.666, 76.694, 0.945, 68.380, 13.68, 1.59
0.584, 79.766, 0.747, 75.770, 13.71, 1.71
0.536, 81.402, 0.584, 80.090, 13.75, 1.62
0.490, 83.038, 0.627, 79.170, 13.78, 1.56
0.461, 84.084, 0.585, 80.390, 13.74, 1.66
0.419, 85.520, 0.612, 80.230, 13.73, 1.56
0.389, 86.556, 0.766, 77.820, 13.78, 1.66
0.368, 87.274, 0.739, 78.090, 13.73, 1.54
0.352, 87.758, 0.539, 83.160, 13.80, 1.54
0.327, 88.736, 0.495, 84.360, 13.77, 1.73
0.311, 89.226, 0.437, 85.200, 13.71, 1.62
0.290, 89.934, 0.553, 82.760, 13.75, 1.52
0.279, 90.138, 0.507, 84.110, 13.79, 1.56
0.267, 90.586, 0.558, 83.550, 13.70, 1.49
0.257, 91.076, 0.450, 85.460, 13.72, 1.71
0.235, 91.798, 0.425, 86.720, 13.73, 1.64
0.233, 91.840, 0.489, 85.500, 13.77, 1.51
0.221, 92.298, 0.397, 87.660, 13.77, 1.71
0.201, 93.034, 0.583, 83.630, 13.74, 1.59
0.201, 93.006, 0.468, 87.000, 13.77, 1.60
0.194, 93.256, 0.376, 88.300, 13.78, 1.56
0.179, 93.752, 0.417, 88.090, 13.79, 1.59
0.172, 93.964, 0.404, 88.230, 13.82, 1.53
0.166, 94.180, 0.389, 88.370, 13.72, 1.55
0.159, 94.330, 0.457, 87.040, 13.72, 1.64
0.155, 94.522, 0.404, 88.200, 13.75, 1.62
0.147, 94.820, 0.424, 88.420, 13.77, 1.68
0.142, 94.902, 0.439, 87.730, 13.77, 1.63
0.135, 95.192, 0.437, 87.760, 13.75, 1.49
0.133, 95.282, 0.418, 88.540, 13.78, 1.60
0.121, 95.700, 0.450, 87.740, 13.74, 1.63
0.125, 95.574, 0.422, 88.540, 13.78, 1.65
0.111, 96.130, 0.452, 87.930, 13.78, 1.50
0.110, 96.084, 0.499, 87.170, 13.75, 1.49
0.110, 96.026, 0.510, 87.440, 13.75, 1.50
0.099, 96.404, 0.407, 89.480, 13.79, 1.62
0.097, 96.554, 0.483, 88.060, 13.71, 1.57
0.093, 96.638, 0.433, 89.050, 13.78, 1.61
0.092, 96.716, 0.461, 88.870, 13.76, 1.60
0.089, 96.900, 0.427, 89.350, 13.78, 1.51
0.088, 96.856, 0.459, 88.790, 13.78, 1.54
0.081, 97.122, 0.439, 89.100, 13.80, 1.58
0.079, 97.256, 0.458, 89.470, 13.75, 1.61
0.075, 97.306, 0.515, 88.470, 13.75, 1.48
0.070, 97.486, 0.450, 89.370, 13.81, 1.57
0.070, 97.528, 0.518, 88.760, 13.75, 1.58
0.069, 97.628, 0.465, 89.320, 13.81, 1.56
0.064, 97.702, 0.486, 89.280, 13.83, 1.55
0.063, 97.824, 0.509, 88.710, 13.74, 1.61
0.057, 97.942, 0.451, 89.740, 13.79, 1.56
0.062, 97.724, 0.509, 89.110, 13.75, 1.47
0.063, 97.754, 0.503, 89.360, 13.79, 1.57
0.058, 97.888, 0.488, 89.530, 13.76, 1.56
0.056, 98.054, 0.452, 90.030, 13.80, 1.54
0.051, 98.280, 0.493, 89.350, 13.75, 1.58
0.050, 98.230, 0.443, 90.820, 13.70, 1.68
0.047, 98.266, 0.538, 89.010, 13.77, 1.58
0.050, 98.256, 0.478, 90.160, 13.77, 1.57
0.046, 98.412, 0.481, 89.790, 13.72, 1.58
0.046, 98.376, 0.448, 90.540, 13.72, 1.64
0.045, 98.380, 0.463, 90.290, 13.82, 1.62
0.042, 98.464, 0.466, 90.350, 13.79, 1.65
0.042, 98.544, 0.494, 89.800, 13.73, 1.59
0.039, 98.594, 0.476, 90.160, 13.78, 1.55
0.037, 98.690, 0.509, 89.860, 13.73, 1.57
0.039, 98.640, 0.530, 89.970, 13.76, 1.63
0.040, 98.564, 0.510, 89.410, 13.78, 1.59
0.038, 98.672, 0.483, 90.030, 13.78, 1.55
0.038, 98.668, 0.495, 89.940, 13.79, 1.54
0.032, 98.922, 0.484, 90.240, 13.80, 1.63
0.037, 98.706, 0.515, 89.630, 13.81, 1.53
0.034, 98.850, 0.477, 90.320, 13.80, 1.52
0.033, 98.834, 0.489, 90.420, 13.79, 1.60
0.032, 98.892, 0.445, 91.240, 13.77, 1.73
0.032, 98.898, 0.499, 90.380, 13.80, 1.73
0.030, 98.926, 0.490, 90.270, 13.77, 1.59
0.026, 99.124, 0.488, 90.530, 13.73, 1.59
0.025, 99.138, 0.510, 90.500, 13.75, 1.63
0.031, 98.938, 0.485, 90.740, 13.75, 1.60
0.025, 99.202, 0.531, 90.450, 13.80, 1.57
0.024, 99.242, 0.533, 90.220, 13.77, 1.54
0.027, 99.046, 0.491, 90.620, 13.81, 1.63
0.025, 99.150, 0.515, 90.550, 13.79, 1.57
0.023, 99.196, 0.561, 90.330, 13.74, 1.54
0.025, 99.128, 0.496, 90.860, 13.74, 1.60
0.025, 99.162, 0.517, 90.470, 13.84, 1.66
0.027, 99.000, 0.523, 89.900, 13.80, 1.53
0.027, 99.076, 0.547, 90.070, 13.79, 1.59
0.024, 99.152, 0.476, 91.020, 13.77, 1.60
0.024, 99.168, 0.539, 90.050, 13.82, 1.56
0.024, 99.196, 0.481, 90.880, 13.80, 1.63
0.017, 99.390, 0.515, 90.390, 13.82, 1.60
0.018, 99.396, 0.542, 90.330, 13.84, 1.56
0.019, 99.326, 0.534, 90.820, 13.74, 1.58
0.018, 99.372, 0.515, 91.140, 13.81, 1.46
0.017, 99.428, 0.517, 91.130, 13.76, 1.64
0.021, 99.290, 0.560, 90.510, 13.81, 1.68
0.021, 99.256, 0.601, 89.810, 13.81, 1.61
0.020, 99.300, 0.556, 90.260, 13.81, 1.54
0.017, 99.398, 0.528, 90.490, 13.79, 1.66
0.018, 99.364, 0.555, 90.470, 13.84, 1.60
0.019, 99.366, 0.538, 90.900, 13.76, 1.60
0.020, 99.330, 0.557, 90.330, 13.82, 1.57
0.016, 99.494, 0.505, 90.980, 13.75, 1.62
0.016, 99.452, 0.568, 90.690, 13.82, 1.58
0.017, 99.428, 0.539, 90.530, 13.80, 1.52
0.015, 99.504, 0.545, 90.440, 13.81, 1.59
0.015, 99.522, 0.546, 90.760, 13.75, 1.51
0.016, 99.492, 0.532, 91.060, 13.76, 1.60
0.015, 99.506, 0.586, 90.500, 13.75, 1.54
0.019, 99.306, 0.530, 90.760, 13.82, 1.61
0.015, 99.478, 0.507, 91.410, 13.80, 1.66
0.013, 99.534, 0.617, 90.340, 13.75, 1.56
0.013, 99.522, 0.533, 90.960, 13.82, 1.57
0.016, 99.430, 0.570, 90.560, 13.85, 1.44
0.015, 99.478, 0.518, 91.060, 13.83, 1.56
0.015, 99.470, 0.530, 91.290, 13.79, 1.64
0.014, 99.518, 0.546, 91.030, 13.80, 1.69
0.015, 99.484, 0.548, 90.950, 13.84, 1.53
0.014, 99.522, 0.535, 91.110, 13.74, 1.55
0.011, 99.612, 0.549, 91.110, 13.78, 1.61
0.013, 99.542, 0.557, 90.860, 13.80, 1.58
0.014, 99.512, 0.554, 91.020, 13.80, 1.61
0.013, 99.544, 0.554, 91.120, 13.76, 1.58
0.017, 99.374, 0.555, 90.630, 13.74, 1.60
0.014, 99.532, 0.547, 91.050, 13.78, 1.63
