train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
0.020, 99.290, 0.515, 91.290, 15.47, 1.54
0.017, 99.412, 0.519, 90.980, 15.55, 1.48
0.015, 99.480, 0.514, 91.340, 15.40, 1.55
0.017, 99.386, 0.499, 91.560, 15.47, 1.66
0.018, 99.366, 0.516, 91.200, 15.51, 1.69
0.016, 99.424, 0.491, 91.330, 15.44, 1.55
0.014, 99.574, 0.491, 91.640, 15.45, 1.59
0.013, 99.550, 0.501, 91.320, 15.52, 1.57
0.014, 99.494, 0.494, 91.350, 15.48, 1.45
0.014, 99.526, 0.509, 91.190, 15.47, 1.61
0.013, 99.586, 0.493, 91.710, 15.47, 1.64
