train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.639, 39.522, 1.281, 54.220, 20.71, 2.46
1.169, 57.920, 1.295, 57.960, 19.84, 2.46
0.926, 67.462, 0.954, 67.950, 20.00, 3.44
0.774, 73.412, 0.864, 72.060, 20.23, 2.46
0.680, 76.878, 0.646, 78.440, 20.03, 2.46
0.616, 78.964, 0.620, 79.500, 21.23, 2.45
0.556, 81.084, 0.608, 79.430, 20.24, 2.43
0.511, 82.736, 0.545, 82.320, 21.24, 2.51
0.478, 83.830, 0.518, 83.110, 20.05, 2.46
0.440, 85.072, 0.482, 84.160, 21.06, 2.47
0.417, 85.810, 0.509, 83.150, 20.29, 2.41
0.394, 86.574, 0.496, 84.220, 21.16, 2.64
0.370, 87.394, 0.468, 84.700, 19.93, 2.44
0.350, 88.098, 0.518, 83.820, 19.88, 2.41
0.330, 88.920, 0.433, 85.960, 20.86, 2.39
0.312, 89.258, 0.395, 87.450, 19.60, 2.47
0.303, 89.724, 0.500, 84.350, 20.39, 2.33
0.286, 90.114, 0.428, 86.710, 19.78, 2.32
0.279, 90.474, 0.359, 88.570, 20.48, 2.39
0.259, 91.116, 0.407, 86.930, 19.54, 2.36
0.251, 91.504, 0.433, 86.410, 19.89, 2.32
0.243, 91.622, 0.392, 87.580, 20.54, 2.33
0.227, 92.218, 0.363, 88.270, 19.22, 2.52
0.218, 92.508, 0.369, 88.130, 20.34, 2.33
0.213, 92.654, 0.386, 88.470, 19.87, 2.37
0.203, 93.074, 0.417, 87.220, 20.23, 2.53
0.197, 93.260, 0.368, 89.050, 19.52, 2.36
0.185, 93.656, 0.403, 87.740, 19.56, 2.37
0.180, 93.710, 0.389, 88.650, 20.52, 2.29
0.173, 94.064, 0.409, 88.520, 19.51, 2.29
0.167, 94.194, 0.366, 89.110, 20.16, 2.33
0.160, 94.534, 0.415, 88.440, 19.37, 2.31
0.155, 94.728, 0.404, 88.990, 20.53, 2.32
0.157, 94.536, 0.413, 88.480, 19.32, 2.36
0.144, 95.012, 0.396, 89.100, 19.39, 2.35
0.135, 95.382, 0.393, 89.020, 20.45, 2.30
0.137, 95.284, 0.380, 89.160, 19.33, 2.33
0.131, 95.462, 0.348, 89.870, 20.36, 2.37
0.128, 95.578, 0.398, 89.090, 19.64, 2.34
0.118, 95.982, 0.404, 89.460, 19.88, 2.88
0.117, 95.884, 0.411, 89.130, 19.51, 2.37
0.111, 96.092, 0.381, 89.920, 19.73, 2.36
0.107, 96.322, 0.397, 89.920, 20.53, 2.36
0.107, 96.260, 0.371, 90.340, 19.73, 2.43
0.101, 96.478, 0.376, 90.330, 20.45, 2.38
0.097, 96.588, 0.405, 90.150, 19.56, 2.34
0.098, 96.584, 0.377, 90.380, 20.54, 2.35
0.090, 96.856, 0.392, 90.300, 19.54, 2.32
0.092, 96.724, 0.392, 90.550, 19.33, 2.40
0.086, 97.100, 0.408, 90.380, 20.43, 2.34
0.081, 97.122, 0.406, 90.260, 20.06, 2.35
0.080, 97.228, 0.423, 89.430, 20.24, 2.42
0.079, 97.238, 0.413, 90.150, 19.49, 2.34
0.076, 97.392, 0.388, 90.300, 20.63, 2.43
0.077, 97.276, 0.382, 90.840, 19.95, 2.35
0.071, 97.492, 0.448, 89.600, 19.53, 2.34
0.071, 97.550, 0.396, 90.250, 20.41, 2.35
0.066, 97.654, 0.462, 89.760, 19.68, 2.34
0.068, 97.698, 0.400, 90.710, 20.62, 2.32
0.066, 97.746, 0.394, 90.770, 19.64, 2.37
0.061, 97.998, 0.452, 90.070, 20.39, 2.36
0.062, 97.864, 0.404, 90.420, 19.80, 2.33
0.061, 97.916, 0.384, 90.850, 19.62, 3.44
0.053, 98.228, 0.433, 90.130, 19.23, 2.29
0.055, 98.072, 0.399, 90.820, 19.50, 2.32
0.053, 98.152, 0.394, 91.330, 20.73, 2.32
0.056, 98.098, 0.409, 91.020, 19.45, 2.33
0.051, 98.290, 0.445, 90.140, 20.45, 2.28
0.048, 98.338, 0.422, 90.760, 19.66, 2.33
0.049, 98.336, 0.451, 90.540, 19.23, 3.26
0.051, 98.216, 0.448, 90.710, 19.43, 2.35
0.050, 98.276, 0.421, 90.910, 19.65, 2.35
0.046, 98.388, 0.413, 91.190, 20.59, 2.33
0.042, 98.540, 0.470, 90.570, 19.72, 2.35
0.045, 98.424, 0.419, 90.940, 20.28, 2.37
0.042, 98.514, 0.460, 90.740, 19.56, 2.34
0.044, 98.486, 0.519, 89.500, 19.57, 2.68
0.043, 98.550, 0.430, 91.030, 20.19, 2.32
0.039, 98.644, 0.426, 91.290, 19.52, 2.32
0.041, 98.612, 0.434, 91.240, 20.47, 2.35
0.042, 98.604, 0.441, 91.020, 19.48, 2.38
0.039, 98.684, 0.430, 91.290, 20.33, 2.36
0.039, 98.694, 0.436, 91.360, 19.66, 2.40
0.033, 98.832, 0.455, 91.150, 19.78, 2.96
0.039, 98.706, 0.470, 90.980, 19.65, 2.31
0.039, 98.692, 0.412, 91.770, 19.44, 2.38
0.030, 98.944, 0.423, 91.370, 20.63, 2.34
0.032, 98.926, 0.454, 90.920, 19.37, 2.38
0.032, 98.880, 0.481, 91.010, 20.14, 2.30
0.031, 98.934, 0.432, 91.330, 19.50, 2.38
0.031, 98.948, 0.479, 91.120, 19.63, 2.39
0.032, 98.834, 0.482, 91.150, 20.38, 2.31
0.033, 98.868, 0.423, 91.670, 19.44, 2.33
0.028, 99.056, 0.468, 91.090, 20.33, 2.34
0.027, 99.064, 0.452, 91.270, 19.43, 2.37
0.028, 99.048, 0.474, 91.020, 20.57, 2.31
0.030, 98.976, 0.500, 90.810, 19.61, 2.35
0.028, 99.030, 0.465, 91.220, 19.57, 2.35
0.028, 99.010, 0.441, 91.570, 20.36, 2.31
0.029, 98.946, 0.447, 91.340, 19.51, 2.31
0.026, 99.076, 0.435, 91.520, 20.34, 2.36
