train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.135, 59.616, 1.097, 60.920, 29.69, 2.75
1.135, 59.424, 1.097, 60.970, 29.64, 2.74
1.132, 59.462, 1.095, 60.990, 29.62, 2.70
1.129, 59.704, 1.095, 61.090, 29.65, 2.86
1.129, 59.742, 1.094, 60.990, 29.74, 2.54
1.127, 59.848, 1.093, 61.060, 29.95, 2.50
1.127, 59.878, 1.091, 61.080, 30.30, 2.41
1.127, 59.988, 1.092, 61.170, 30.32, 2.60
1.124, 60.002, 1.088, 61.200, 30.25, 2.74
1.125, 59.892, 1.089, 61.280, 29.58, 2.64
1.122, 59.934, 1.087, 61.530, 29.63, 2.78
