train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.480, 45.638, 1.092, 61.120, 26.54, 1.73
1.011, 64.232, 0.833, 71.140, 26.47, 1.50
0.802, 71.952, 0.672, 76.600, 26.57, 1.53
0.681, 76.504, 0.652, 78.330, 26.31, 1.49
0.612, 78.928, 0.591, 80.400, 25.96, 1.64
0.558, 80.888, 0.571, 81.100, 26.16, 1.62
0.505, 82.690, 0.487, 83.910, 26.20, 1.62
0.473, 83.850, 0.505, 82.920, 26.22, 1.57
0.437, 84.878, 0.473, 84.350, 26.52, 1.69
0.413, 85.802, 0.426, 86.040, 26.50, 1.66
0.388, 86.656, 0.438, 85.310, 26.37, 1.68
0.364, 87.416, 0.431, 85.920, 26.10, 1.62
0.349, 87.866, 0.375, 87.430, 26.38, 1.59
0.332, 88.416, 0.391, 86.870, 26.89, 1.65
0.318, 89.018, 0.396, 86.830, 26.88, 1.52
0.297, 89.784, 0.363, 88.150, 26.94, 1.59
0.283, 90.042, 0.363, 88.600, 27.07, 1.68
0.274, 90.440, 0.370, 88.240, 26.62, 1.60
0.268, 90.734, 0.380, 87.580, 26.39, 1.55
0.250, 91.356, 0.339, 88.880, 25.75, 1.51
0.240, 91.688, 0.344, 88.650, 26.31, 1.50
0.227, 92.124, 0.388, 87.770, 26.41, 1.62
0.219, 92.388, 0.348, 89.100, 27.00, 1.74
0.215, 92.504, 0.335, 89.280, 26.82, 1.59
0.201, 92.882, 0.342, 89.300, 26.35, 1.60
0.196, 93.138, 0.336, 89.850, 26.39, 1.77
0.190, 93.252, 0.342, 89.540, 26.97, 1.60
0.188, 93.450, 0.345, 89.010, 26.52, 1.58
0.176, 93.830, 0.326, 90.000, 26.76, 1.71
0.166, 94.098, 0.346, 89.270, 26.82, 1.65
0.162, 94.394, 0.311, 90.480, 26.56, 1.70
0.157, 94.344, 0.330, 89.810, 26.55, 1.53
0.149, 94.590, 0.354, 89.520, 26.27, 1.59
0.147, 94.760, 0.344, 90.080, 26.58, 1.58
0.142, 94.932, 0.354, 89.850, 26.95, 1.50
0.133, 95.234, 0.364, 89.480, 27.09, 1.70
0.136, 95.198, 0.317, 90.530, 26.31, 1.53
0.128, 95.440, 0.319, 90.370, 26.22, 1.65
0.120, 95.732, 0.351, 90.480, 26.02, 1.60
0.120, 95.762, 0.359, 90.170, 26.58, 1.55
0.117, 95.872, 0.347, 90.050, 27.09, 1.56
0.115, 95.830, 0.374, 89.930, 26.72, 1.64
0.104, 96.322, 0.359, 90.480, 26.61, 1.63
0.108, 96.192, 0.365, 90.130, 26.71, 1.62
0.100, 96.456, 0.366, 90.300, 25.84, 1.65
0.100, 96.452, 0.379, 89.880, 26.24, 1.57
0.092, 96.712, 0.342, 90.740, 26.99, 1.67
0.095, 96.546, 0.349, 90.840, 26.83, 1.65
0.091, 96.788, 0.356, 90.810, 27.12, 1.67
0.086, 97.046, 0.375, 90.410, 26.47, 1.60
0.085, 97.004, 0.355, 90.790, 26.25, 1.66
0.085, 97.004, 0.364, 90.680, 26.54, 1.50
0.080, 97.150, 0.399, 90.300, 26.08, 1.64
0.078, 97.204, 0.351, 90.760, 26.21, 1.54
0.074, 97.388, 0.333, 91.310, 26.68, 1.61
0.072, 97.504, 0.406, 90.000, 26.41, 1.59
0.074, 97.380, 0.384, 90.790, 26.81, 1.55
0.069, 97.584, 0.375, 90.890, 26.85, 1.59
0.069, 97.534, 0.382, 90.850, 26.28, 1.63
0.065, 97.710, 0.361, 91.090, 26.23, 1.66
