train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
0.021s, 99.288s, 0.485s,91.24, 15.97s, 1.48s
0.017s, 99.416s, 0.500s,91.34, 15.96s, 1.61s
0.016s, 99.472s, 0.486s,91.33, 15.99s, 1.61s
0.018s, 99.368s, 0.473s,91.41, 15.94s, 1.66s
0.016s, 99.464s, 0.489s,91.49, 15.99s, 1.62s
0.016s, 99.468s, 0.504s,91.26, 16.01s, 1.54s
0.021s, 99.254s, 0.477s,91.32, 16.06s, 1.56s
0.018s, 99.384s, 0.485s,91.29, 16.00s, 1.50s
0.015s, 99.452s, 0.495s,91.29, 15.99s, 1.53s
0.019s, 99.330s, 0.514s,90.98, 15.98s, 1.67s
0.020s, 99.344s, 0.486s,91.3, 15.99s, 1.65s
0.017s, 99.434s, 0.526s,90.92, 16.01s, 1.51s
0.018s, 99.394s, 0.507s,91.32, 15.94s, 1.70s
0.017s, 99.440s, 0.507s,91.15, 16.00s, 1.50s
0.016s, 99.474s, 0.515s,90.85, 16.02s, 1.55s
0.013s, 99.528s, 0.471s,91.85, 16.01s, 1.61s
0.013s, 99.576s, 0.484s,91.47, 16.03s, 1.60s
0.014s, 99.510s, 0.501s,91.6, 15.99s, 1.62s
0.011s, 99.628s, 0.514s,91.28, 16.00s, 1.54s
0.014s, 99.550s, 0.500s,91.68, 16.01s, 1.52s
0.014s, 99.504s, 0.488s,91.57, 16.00s, 1.54s
0.014s, 99.510s, 0.513s,91.33, 16.01s, 1.69s
0.014s, 99.490s, 0.519s,91.06, 16.00s, 1.58s
0.018s, 99.384s, 0.533s,91.1, 15.99s, 1.61s
0.015s, 99.492s, 0.504s,91.22, 15.96s, 1.52s
0.013s, 99.552s, 0.514s, 91.550s, 15.98s, 1.54s
0.014s, 99.506s, 0.510s, 91.530s, 15.99s, 1.50s
0.013s, 99.532s, 0.517s, 91.700s, 16.02s, 1.59s
0.015s, 99.500s, 0.537s, 91.340s, 15.98s, 1.60s
0.016s, 99.436s, 0.529s, 91.190s, 15.93s, 1.63s
0.013s, 99.564s, 0.510s, 91.350s, 16.05s, 1.61s
0.013s, 99.546s, 0.514s, 90.940s, 16.00s, 1.49s
0.011s, 99.620s, 0.497s, 91.690s, 16.04s, 1.59s
0.014s, 99.540s, 0.512s, 91.580s, 15.96s, 1.59s
0.012s, 99.574s, 0.525s, 91.540s, 16.04s, 1.52s
0.013s, 99.562s, 0.559s, 91.020s, 16.02s, 1.54s
0.014s, 99.496s, 0.516s, 91.510s, 15.98s, 1.45s
0.013s, 99.572s, 0.515s, 91.390s, 16.01s, 1.64s
0.012s, 99.576s, 0.540s, 91.490s, 16.01s, 1.55s
0.009s, 99.706s, 0.533s, 91.470s, 15.99s, 1.59s
0.013s, 99.528s, 0.522s, 91.210s, 16.02s, 1.61s
0.010s, 99.648s, 0.509s, 91.660s, 15.99s, 1.52s
0.011s, 99.602s, 0.521s, 91.310s, 16.01s, 1.56s
0.011s, 99.590s, 0.505s, 91.340s, 15.99s, 1.53s
0.010s, 99.686s, 0.511s, 91.640s, 16.03s, 1.59s
0.010s, 99.664s, 0.513s, 91.660s, 15.95s, 1.56s
0.009s, 99.684s, 0.492s, 92.000s, 15.90s, 1.55s
0.011s, 99.638s, 0.512s, 91.240s, 15.93s, 1.63s
0.012s, 99.594s, 0.530s, 91.390s, 15.87s, 1.60s
0.012s, 99.602s, 0.519s, 91.490s, 16.00s, 1.59s
0.012s, 99.582s, 0.559s, 90.990s, 16.03s, 1.52s
0.008s, 99.746s, 0.531s, 91.560s, 15.98s, 1.65s
0.008s, 99.696s, 0.503s, 91.680s, 15.89s, 1.49s
0.008s, 99.752s, 0.517s, 91.390s, 15.91s, 1.56s
0.008s, 99.746s, 0.542s, 91.400s, 16.03s, 1.52s
0.009s, 99.694s, 0.516s, 91.730s, 15.99s, 1.58s
0.009s, 99.696s, 0.543s, 91.440s, 16.01s, 1.50s
0.008s, 99.718s, 0.518s, 91.750s, 15.98s, 1.46s
0.008s, 99.726s, 0.517s, 91.810s, 15.93s, 1.62s
0.008s, 99.736s, 0.533s, 91.630s, 16.00s, 1.55s
0.009s, 99.680s, 0.523s, 91.620s, 15.91s, 1.53s
0.009s, 99.696s, 0.514s, 91.440s, 15.98s, 1.62s
0.008s, 99.746s, 0.542s, 91.740s, 15.99s, 1.50s
0.008s, 99.700s, 0.521s, 91.600s, 15.98s, 1.51s
0.012s, 99.582s, 0.548s, 91.460s, 15.89s, 1.71s
0.010s, 99.674s, 0.526s, 91.270s, 15.94s, 1.54s
0.007s, 99.732s, 0.520s, 91.800s, 15.98s, 1.53s
0.010s, 99.658s, 0.517s, 91.700s, 15.97s, 1.58s
0.009s, 99.678s, 0.533s, 91.420s, 15.97s, 1.58s
0.008s, 99.754s, 0.529s, 91.830s, 15.96s, 1.43s
0.009s, 99.694s, 0.510s, 92.010s, 15.83s, 1.58s
0.006s, 99.806s, 0.515s, 91.920s, 15.96s, 1.59s
0.009s, 99.700s, 0.531s, 91.580s, 15.95s, 1.59s
0.008s, 99.712s, 0.535s, 91.530s, 15.84s, 1.50s
0.008s, 99.760s, 0.530s, 91.650s, 15.96s, 1.53s
0.007s, 99.756s, 0.525s, 91.930s, 15.89s, 1.56s
0.007s, 99.796s, 0.547s, 91.430s, 15.90s, 1.48s
0.010s, 99.638s, 0.527s, 91.510s, 15.99s, 1.60s
0.008s, 99.692s, 0.575s, 91.160s, 16.00s, 1.63s
0.008s, 99.700s, 0.535s, 91.760s, 16.01s, 1.54s
0.009s, 99.688s, 0.522s, 91.780s, 15.95s, 1.59s
0.007s, 99.734s, 0.531s, 92.090s, 15.94s, 1.58s
0.008s, 99.760s, 0.547s, 91.590s, 15.92s, 1.68s
0.010s, 99.630s, 0.553s, 91.710s, 15.95s, 1.49s
0.007s, 99.810s, 0.527s, 91.670s, 15.68s, 1.57s
0.006s, 99.804s, 0.538s, 91.660s, 15.45s, 1.58s
0.007s, 99.766s, 0.534s, 91.940s, 15.32s, 1.59s
0.008s, 99.714s, 0.534s, 91.720s, 15.34s, 1.53s
0.007s, 99.766s, 0.556s, 91.480s, 15.29s, 1.46s
0.010s, 99.656s, 0.568s, 91.500s, 15.28s, 1.63s
0.007s, 99.762s, 0.511s, 92.000s, 15.27s, 1.57s
0.006s, 99.802s, 0.546s, 91.810s, 15.27s, 1.54s
0.007s, 99.760s, 0.544s, 91.990s, 15.42s, 1.54s
0.006s, 99.778s, 0.534s, 92.190s, 15.30s, 1.57s
0.006s, 99.774s, 0.549s, 91.940s, 15.38s, 1.59s
0.005s, 99.822s, 0.545s, 91.880s, 15.35s, 1.64s
0.005s, 99.808s, 0.555s, 91.790s, 15.48s, 1.55s
0.005s, 99.812s, 0.540s, 91.720s, 15.45s, 1.63s
0.005s, 99.836s, 0.550s, 91.640s, 15.51s, 1.52s
0.006s, 99.790s, 0.569s, 91.690s, 15.57s, 1.54s
0.006s, 99.828s, 0.556s, 91.680s, 15.59s, 1.49s
0.006s, 99.786s, 0.558s, 92.010s, 15.66s, 1.52s
0.007s, 99.756s, 0.563s, 91.690s, 15.65s, 1.54s
0.007s, 99.782s, 0.585s, 91.450s, 15.75s, 1.63s
