train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.470, 45.498, 1.153, 59.890, 19.21, 1.74
0.976, 65.452, 0.943, 68.120, 18.42, 1.61
0.776, 73.048, 0.790, 72.660, 18.09, 1.61
0.669, 76.864, 0.703, 76.370, 18.29, 1.68
0.594, 79.502, 0.611, 79.080, 18.11, 1.68
0.543, 81.244, 0.565, 81.220, 18.43, 1.72
0.496, 82.868, 0.540, 81.950, 18.12, 1.73
0.461, 84.204, 0.536, 82.180, 18.21, 1.62
0.431, 85.166, 0.474, 84.200, 18.28, 1.70
0.404, 86.056, 0.514, 82.790, 18.27, 1.52
0.381, 86.874, 0.475, 83.860, 18.24, 1.64
0.359, 87.554, 0.501, 83.970, 18.40, 1.60
0.341, 88.208, 0.441, 85.350, 17.98, 1.64
0.323, 88.776, 0.402, 86.420, 18.27, 1.57
0.304, 89.408, 0.390, 86.840, 18.21, 1.75
0.290, 89.934, 0.382, 87.600, 18.44, 1.62
0.278, 90.360, 0.467, 85.320, 18.22, 1.64
0.267, 90.778, 0.404, 86.730, 18.33, 1.56
0.254, 91.046, 0.377, 87.990, 18.37, 1.46
0.244, 91.458, 0.364, 88.420, 18.16, 1.67
0.227, 92.070, 0.340, 88.800, 18.22, 1.68
0.219, 92.262, 0.349, 89.190, 18.28, 1.63
0.210, 92.562, 0.384, 87.940, 18.33, 1.55
0.201, 92.926, 0.346, 88.980, 18.23, 1.61
0.198, 93.012, 0.363, 88.540, 18.24, 1.66
0.189, 93.392, 0.362, 89.320, 18.33, 1.75
0.179, 93.762, 0.381, 88.500, 18.06, 1.57
0.172, 93.982, 0.364, 89.450, 18.27, 1.50
0.170, 93.982, 0.384, 88.770, 18.32, 1.43
0.162, 94.356, 0.356, 89.090, 18.23, 1.61
0.155, 94.602, 0.358, 89.270, 18.23, 1.51
0.148, 94.740, 0.361, 89.600, 18.26, 1.71
0.149, 94.744, 0.373, 89.480, 18.31, 1.53
0.142, 94.944, 0.362, 89.650, 18.15, 1.65
0.136, 95.220, 0.347, 90.070, 18.22, 1.70
0.132, 95.380, 0.341, 90.040, 18.04, 1.63
0.122, 95.696, 0.370, 89.830, 18.06, 1.63
0.116, 95.876, 0.418, 89.090, 17.95, 1.67
0.118, 95.768, 0.399, 89.310, 18.26, 1.62
0.111, 96.066, 0.370, 89.980, 18.19, 1.51
0.108, 96.192, 0.352, 90.390, 18.38, 1.63
0.102, 96.310, 0.382, 90.260, 18.21, 1.59
0.101, 96.398, 0.371, 90.160, 18.44, 1.60
0.095, 96.598, 0.373, 90.400, 18.28, 1.60
0.096, 96.610, 0.382, 90.390, 18.39, 1.52
0.094, 96.658, 0.407, 89.760, 18.41, 1.64
0.091, 96.778, 0.359, 90.810, 18.08, 1.63
0.085, 96.980, 0.378, 90.510, 18.28, 1.61
0.085, 96.984, 0.382, 90.380, 18.43, 1.53
