train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
2.502, 9.932, 2.333, 10.360, 16.30, 1.62
2.325, 10.144, 2.311, 10.700, 14.95, 1.53
2.319, 10.464, 2.310, 11.010, 15.21, 1.55
2.314, 11.092, 2.329, 10.030, 15.28, 1.62
2.313, 10.806, 2.272, 9.890, 15.35, 1.45
2.248, 14.036, 2.105, 20.880, 15.53, 1.57
2.134, 18.168, 2.098, 21.430, 15.54, 1.64
2.065, 21.094, 1.990, 23.800, 15.63, 1.53
2.001, 22.262, 1.904, 25.870, 15.72, 1.60
1.933, 24.556, 1.793, 30.880, 15.85, 1.59
1.872, 27.344, 1.773, 31.180, 15.84, 1.56
1.833, 28.700, 1.722, 31.770, 15.88, 1.59
1.800, 30.764, 1.827, 30.690, 15.94, 1.48
1.728, 33.940, 1.584, 42.080, 15.97, 1.57
1.656, 37.064, 1.455, 44.870, 16.05, 1.59
1.581, 40.862, 1.660, 45.260, 16.04, 1.65
1.502, 44.636, 1.383, 51.460, 16.04, 1.60
1.378, 49.978, 1.351, 52.250, 16.05, 1.65
1.299, 53.718, 1.221, 57.350, 16.04, 1.53
1.212, 57.190, 1.183, 59.600, 16.03, 1.70
1.148, 59.454, 1.207, 60.180, 16.02, 1.50
1.085, 62.104, 1.226, 62.660, 16.06, 1.61
1.030, 64.002, 0.998, 64.050, 16.03, 1.59
0.983, 65.814, 0.962, 67.700, 16.00, 1.58
0.932, 67.834, 1.043, 65.040, 16.03, 1.59
0.889, 69.538, 0.900, 71.610, 16.03, 1.52
0.849, 71.412, 0.988, 70.700, 16.01, 1.55
0.821, 72.384, 0.866, 70.220, 16.01, 1.58
0.781, 73.768, 0.918, 71.110, 15.99, 1.48
0.751, 75.034, 0.746, 76.120, 16.05, 1.65
0.717, 75.940, 0.755, 74.530, 16.00, 1.49
0.692, 76.942, 0.727, 76.100, 16.02, 1.57
0.674, 77.674, 0.707, 76.290, 16.03, 1.58
0.654, 78.348, 0.711, 78.090, 16.06, 1.60
0.637, 79.062, 0.633, 78.800, 16.01, 1.59
0.620, 79.560, 0.766, 75.790, 15.96, 1.46
0.590, 80.590, 0.730, 77.950, 16.02, 1.53
0.579, 80.936, 0.719, 76.290, 16.02, 1.65
0.572, 81.070, 0.593, 80.190, 16.02, 1.67
0.551, 81.642, 0.627, 78.990, 16.08, 1.57
0.541, 82.050, 0.662, 77.720, 15.99, 1.47
0.526, 82.604, 0.605, 80.670, 15.99, 1.58
0.511, 83.398, 0.628, 80.580, 15.99, 1.58
0.502, 83.588, 0.602, 80.940, 16.01, 1.61
0.498, 83.456, 0.573, 82.290, 15.99, 1.61
0.484, 84.000, 0.651, 79.990, 16.02, 1.62
0.475, 84.522, 0.554, 82.440, 15.89, 1.57
0.464, 84.700, 0.553, 82.330, 15.91, 1.53
0.457, 85.080, 0.532, 82.600, 16.03, 1.53
0.448, 85.186, 0.603, 81.540, 16.00, 1.49
0.442, 85.394, 0.695, 79.140, 15.99, 1.52
0.431, 85.928, 0.475, 84.740, 15.92, 1.59
0.425, 85.932, 0.507, 83.060, 15.98, 1.50
0.423, 85.852, 0.514, 83.710, 15.97, 1.51
0.413, 86.276, 0.508, 83.070, 16.00, 1.66
0.400, 86.522, 0.522, 83.050, 16.00, 1.53
0.398, 86.642, 0.534, 84.270, 15.98, 1.58
0.394, 86.896, 0.591, 80.920, 16.03, 1.58
0.386, 87.172, 0.548, 83.510, 16.02, 1.53
0.379, 87.366, 0.484, 84.520, 15.96, 1.48
0.379, 87.430, 0.500, 83.590, 16.01, 1.58
0.375, 87.652, 0.555, 83.470, 16.02, 1.49
0.359, 88.142, 0.536, 83.790, 16.02, 1.53
0.357, 88.246, 0.478, 85.430, 16.02, 1.65
0.352, 88.286, 0.464, 84.990, 16.01, 1.49
0.348, 88.456, 0.506, 85.310, 15.93, 1.60
0.347, 88.652, 0.522, 83.820, 16.00, 1.52
0.338, 88.766, 0.483, 85.580, 16.04, 1.64
0.343, 88.672, 0.463, 85.090, 16.03, 1.55
0.336, 88.728, 0.449, 86.390, 15.98, 1.56
0.332, 88.900, 0.514, 83.860, 15.98, 1.60
0.329, 88.958, 0.455, 85.900, 15.92, 1.60
0.320, 89.418, 0.453, 85.990, 16.00, 1.49
0.322, 89.290, 0.439, 86.450, 16.00, 1.51
0.315, 89.574, 0.512, 84.980, 16.03, 1.57
0.316, 89.526, 0.503, 85.230, 16.05, 1.46
0.312, 89.542, 0.560, 82.970, 16.05, 1.60
0.303, 90.014, 0.435, 86.380, 16.00, 1.55
0.303, 89.984, 0.467, 85.210, 16.00, 1.64
0.299, 89.934, 0.449, 86.490, 16.03, 1.61
0.293, 90.384, 0.507, 84.750, 16.03, 1.50
0.297, 90.110, 0.493, 84.730, 16.02, 1.43
0.290, 90.400, 0.450, 86.670, 15.98, 1.60
0.283, 90.548, 0.449, 86.470, 16.02, 1.53
0.283, 90.456, 0.486, 85.910, 15.99, 1.55
0.283, 90.668, 0.499, 84.850, 15.96, 1.60
0.283, 90.472, 0.458, 86.850, 15.99, 1.61
0.281, 90.720, 0.487, 85.620, 15.99, 1.50
0.266, 91.148, 0.508, 85.780, 15.96, 1.54
0.271, 91.088, 0.496, 84.770, 15.97, 1.59
0.271, 90.778, 0.450, 86.470, 15.97, 1.51
0.268, 91.166, 0.428, 87.200, 16.04, 1.63
0.264, 91.174, 0.460, 86.930, 16.04, 1.58
0.272, 91.076, 0.509, 85.410, 16.04, 1.49
0.266, 91.214, 0.500, 85.710, 15.97, 1.51
0.256, 91.402, 0.463, 86.860, 16.03, 1.55
0.264, 91.116, 0.426, 87.270, 15.91, 1.66
0.259, 91.290, 0.469, 86.680, 16.02, 1.50
0.252, 91.606, 0.481, 86.610, 16.03, 1.48
0.258, 91.504, 0.446, 87.030, 16.04, 1.52
0.248, 91.828, 0.474, 87.000, 16.02, 1.56
0.249, 91.866, 0.477, 85.980, 16.03, 1.57
0.247, 91.708, 0.506, 85.840, 15.99, 1.54
0.249, 91.768, 0.520, 85.660, 16.00, 1.53
0.245, 91.848, 0.525, 86.160, 16.02, 1.57
0.242, 92.054, 0.497, 86.660, 15.99, 1.60
0.241, 92.062, 0.447, 87.340, 15.99, 1.51
0.232, 92.288, 0.475, 86.460, 15.98, 1.58
0.234, 92.020, 0.428, 87.530, 15.94, 1.57
0.231, 92.214, 0.429, 87.530, 15.94, 1.55
0.237, 92.174, 0.474, 86.430, 15.98, 1.57
0.225, 92.480, 0.432, 87.920, 16.01, 1.65
0.230, 92.394, 0.438, 87.320, 16.02, 1.55
0.231, 92.342, 0.418, 88.300, 16.01, 1.57
0.233, 92.174, 0.416, 88.380, 15.99, 1.67
0.217, 92.826, 0.434, 87.490, 15.93, 1.55
0.222, 92.550, 0.449, 87.030, 15.93, 1.46
0.221, 92.642, 0.427, 87.700, 15.95, 1.65
0.222, 92.612, 0.462, 87.410, 16.01, 1.53
0.216, 92.780, 0.491, 86.840, 16.03, 1.55
0.216, 92.770, 0.461, 87.740, 16.03, 1.46
0.217, 92.828, 0.557, 85.940, 15.90, 1.50
0.216, 92.778, 0.443, 86.780, 15.91, 1.51
0.212, 92.858, 0.447, 87.340, 15.95, 1.52
0.213, 92.926, 0.465, 86.660, 16.01, 1.53
0.213, 92.918, 0.477, 86.120, 16.03, 1.53
0.213, 92.870, 0.450, 87.770, 16.01, 1.57
0.202, 93.380, 0.436, 87.930, 16.02, 1.54
0.212, 93.050, 0.475, 87.550, 16.01, 1.52
0.208, 92.984, 0.410, 88.180, 16.01, 1.57
0.205, 93.112, 0.534, 85.010, 15.94, 1.57
0.196, 93.434, 0.414, 88.610, 15.96, 1.53
0.198, 93.288, 0.447, 87.970, 16.02, 1.61
0.201, 93.342, 0.400, 88.730, 15.96, 1.58
0.202, 93.256, 0.449, 87.900, 15.96, 1.58
0.204, 93.152, 0.500, 86.250, 15.98, 1.58
0.202, 93.274, 0.491, 86.570, 15.93, 1.57
0.201, 93.302, 0.450, 87.690, 15.93, 1.65
0.193, 93.504, 0.422, 88.670, 15.92, 1.60
0.194, 93.548, 0.413, 88.900, 15.99, 1.65
0.194, 93.650, 0.438, 87.490, 15.94, 1.57
0.195, 93.546, 0.445, 88.030, 15.94, 1.57
0.192, 93.538, 0.618, 84.630, 15.92, 1.54
0.193, 93.658, 0.410, 88.560, 15.98, 1.49
0.191, 93.514, 0.425, 88.210, 15.98, 1.61
0.186, 93.808, 0.503, 86.960, 16.01, 1.55
0.191, 93.532, 0.411, 88.400, 16.05, 1.51
0.190, 93.634, 0.516, 85.900, 16.02, 1.47
0.187, 93.794, 0.497, 86.740, 16.03, 1.49
0.187, 93.676, 0.437, 88.250, 16.07, 1.49
0.177, 94.096, 0.440, 87.960, 16.03, 1.54
